Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease§, Neuroinvasive Current week","West Nile virus disease§, Neuroinvasive Current week, flag ","West Nile virus disease§, Neuroinvasive Previous 52 weeks Med","West Nile virus disease§, Neuroinvasive Previous 52 weeks Med, flag","West Nile virus disease§, Neuroinvasive Previous 52 weeks Max","West Nile virus disease§, Neuroinvasive Previous 52 weeks Max, flag","West Nile virus disease§, Neuroinvasive Cum 2017","West Nile virus disease§, Neuroinvasive Cum 2017, flag","West Nile virus disease§, Neuroinvasive Cum 2016","West Nile virus disease§, Neuroinvasive Cum 2016, flag","West Nile virus disease§, Nonneuroinvasive Current week","West Nile virus disease§, Nonneuroinvasiveś Current week, flag","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Med","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Med, flag","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Max","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Max, flag","West Nile virus disease§, Nonneuroinvasiveś Cum 2017","West Nile virus disease§, Nonneuroinvasiveś Cum 2017, flag","West Nile virus disease§, Nonneuroinvasiveś Cum 2016","West Nile virus disease§, Nonneuroinvasiveś Cum 2016, flag",Location 1,Location 2
KANSAS,2017,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-98.201847', 'needs_recoding': False, 'latitude': '38.345528', 'human_address': '{""address"":"""",""city"":"""",""state"":""KANSAS"",""zip"":""""}'}",
MINNESOTA,2017,1,,-,0,,3,,,-,,-,,-,0,,13,,,-,,-,"{'longitude': '-94.793397', 'needs_recoding': False, 'latitude': '46.357661', 'human_address': '{""address"":"""",""city"":"""",""state"":""MINNESOTA"",""zip"":""""}'}",
MISSOURI,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-92.566292', 'needs_recoding': False, 'latitude': '38.636168', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSOURI"",""zip"":""""}'}",
NEBRASKA,2017,1,,-,0,,7,,,-,,-,,-,0,,7,,,-,,-,"{'longitude': '-99.367122', 'needs_recoding': False, 'latitude': '41.640503', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEBRASKA"",""zip"":""""}'}",
NORTH DAKOTA,2017,1,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,"{'longitude': '-100.121011', 'needs_recoding': False, 'latitude': '47.475879', 'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH DAKOTA"",""zip"":""""}'}",
SOUTH DAKOTA,2017,1,,-,0,,8,,,-,,-,,-,0,,16,,,-,,-,"{'longitude': '-100.373709', 'needs_recoding': False, 'latitude': '44.35371', 'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH DAKOTA"",""zip"":""""}'}",
S. ATLANTIC,2017,1,,-,0,,6,,,-,,-,,-,0,,2,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
DELAWARE,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-75.574561', 'needs_recoding': False, 'latitude': '39.008676', 'human_address': '{""address"":"""",""city"":"""",""state"":""DELAWARE"",""zip"":""""}'}",
DIST. OF COL.,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-77.019912', 'needs_recoding': False, 'latitude': '38.892062', 'human_address': '{""address"":"""",""city"":"""",""state"":""DISTRICT OF COLUMBIA"",""zip"":""""}'}",
FLORIDA,2017,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-81.922409', 'needs_recoding': False, 'latitude': '28.915325', 'human_address': '{""address"":"""",""city"":"""",""state"":""FLORIDA"",""zip"":""""}'}",
GEORGIA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-83.631709', 'needs_recoding': False, 'latitude': '32.836038', 'human_address': '{""address"":"""",""city"":"""",""state"":""GEORGIA"",""zip"":""""}'}",
MARYLAND,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-76.612333', 'needs_recoding': False, 'latitude': '39.290443', 'human_address': '{""address"":"""",""city"":"""",""state"":""MARYLAND"",""zip"":""""}'}",
NORTH CAROLINA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-79.180571', 'needs_recoding': False, 'latitude': '35.47995', 'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH CAROLINA"",""zip"":""""}'}",
SOUTH CAROLINA,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-81.037094', 'needs_recoding': False, 'latitude': '34.009286', 'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH CAROLINA"",""zip"":""""}'}",
VIRGINIA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-78.45822', 'needs_recoding': False, 'latitude': '37.542699', 'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGINIA"",""zip"":""""}'}",
WEST VIRGINIA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-80.709421', 'needs_recoding': False, 'latitude': '38.668501', 'human_address': '{""address"":"""",""city"":"""",""state"":""WEST VIRGINIA"",""zip"":""""}'}",
E.S. CENTRAL,2017,1,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ALABAMA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-86.631125', 'needs_recoding': False, 'latitude': '32.839182', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALABAMA"",""zip"":""""}'}",
KENTUCKY,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-84.774043', 'needs_recoding': False, 'latitude': '37.64591', 'human_address': '{""address"":"""",""city"":"""",""state"":""KENTUCKY"",""zip"":""""}'}",
MISSISSIPPI,2017,1,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-89.537312', 'needs_recoding': False, 'latitude': '32.738663', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSISSIPPI"",""zip"":""""}'}",
TENNESSEE,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-85.774444', 'needs_recoding': False, 'latitude': '35.681402', 'human_address': '{""address"":"""",""city"":"""",""state"":""TENNESSEE"",""zip"":""""}'}",
W.S. CENTRAL,2017,1,,-,2,,20,,,-,,-,,-,1,,12,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ARKANSAS,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-92.275105', 'needs_recoding': False, 'latitude': '34.748745', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}'}",
