Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease§, Neuroinvasive, Current week","West Nile virus disease§, Neuroinvasive, Current week, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max, flag","West Nile virus disease§, Neuroinvasive, Cum 2015","West Nile virus disease§, Neuroinvasive, Cum 2015, flag","West Nile virus disease§, Neuroinvasive, Cum 2014","West Nile virus disease§, Neuroinvasive, Cum 2014, flag","West Nile virus disease§, Nonneuroinvasiveś, Current week","West Nile virus disease§, Nonneuroinvasiveś, Current week, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2014","West Nile virus disease§, Nonneuroinvasiveś, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,,-,1,,128,,,-,,-,,-,1,,98,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
NEW ENGLAND,2015,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
CONNECTICUT,2015,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-72.64983977999998', 'needs_recoding': False, 'latitude': '41.56266070000004', 'human_address': '{""address"":"""",""city"":"""",""state"":""CONNECTICUT"",""zip"":""""}'}",
MAINE,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-68.98502586699993', 'needs_recoding': False, 'latitude': '45.25422910300006', 'human_address': '{""address"":"""",""city"":"""",""state"":""MAINE"",""zip"":""""}'}",
MASSACHUSETTS,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-72.08268726299997', 'needs_recoding': False, 'latitude': '42.27687400000008', 'human_address': '{""address"":"""",""city"":"""",""state"":""MASSACHUSETTS"",""zip"":""""}'}",
NEW HAMPSHIRE,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-71.50035697299995', 'needs_recoding': False, 'latitude': '43.65595283500005', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW HAMPSHIRE"",""zip"":""""}'}",
RHODE ISLAND,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-71.52246566099996', 'needs_recoding': False, 'latitude': '41.70828106100004', 'human_address': '{""address"":"""",""city"":"""",""state"":""RHODE ISLAND"",""zip"":""""}'}",
VERMONT,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-72.51763667599994', 'needs_recoding': False, 'latitude': '43.62538389600007', 'human_address': '{""address"":"""",""city"":"""",""state"":""VERMONT"",""zip"":""""}'}",
MID. ATLANTIC,2015,1,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
NEW JERSEY,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-74.27368796999997', 'needs_recoding': False, 'latitude': '40.130570807000026', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW JERSEY"",""zip"":""""}'}",
NEW YORK,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-75.54396609999998', 'needs_recoding': False, 'latitude': '42.82700376100007', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK"",""zip"":""""}'}",
NEW YORK CITY,2015,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-74.00596858999995', 'needs_recoding': False, 'latitude': '40.71426755700003', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK CITY"",""zip"":""""}'}",
PENNSYLVANIA,2015,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-77.86069690799997', 'needs_recoding': False, 'latitude': '40.79373362300004', 'human_address': '{""address"":"""",""city"":"""",""state"":""PENNSYLVANIA"",""zip"":""""}'}",
E.N. CENTRAL,2015,1,,-,0,,10,,,-,,-,,-,0,,4,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ILLINOIS,2015,1,,-,0,,9,,,-,,-,,-,0,,4,,,-,,-,"{'longitude': '-88.99770922699997', 'needs_recoding': False, 'latitude': '40.48501223300008', 'human_address': '{""address"":"""",""city"":"""",""state"":""ILLINOIS"",""zip"":""""}'}",
INDIANA,2015,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-86.14995646699998', 'needs_recoding': False, 'latitude': '39.766913353000064', 'human_address': '{""address"":"""",""city"":"""",""state"":""INDIANA"",""zip"":""""}'}",
MICHIGAN,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-84.71438555599997', 'needs_recoding': False, 'latitude': '44.66132238800003', 'human_address': '{""address"":"""",""city"":"""",""state"":""MICHIGAN"",""zip"":""""}'}",
OHIO,2015,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-82.40425667899996', 'needs_recoding': False, 'latitude': '40.060212455000055', 'human_address': '{""address"":"""",""city"":"""",""state"":""OHIO"",""zip"":""""}'}",
WISCONSIN,2015,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-89.81636640199997', 'needs_recoding': False, 'latitude': '44.39319064600005', 'human_address': '{""address"":"""",""city"":"""",""state"":""WISCONSIN"",""zip"":""""}'}",
W.N. CENTRAL,2015,1,,-,0,,14,,,-,,-,,-,0,,32,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
IOWA,2015,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-93.81648725599996', 'needs_recoding': False, 'latitude': '42.469401411000035', 'human_address': '{""address"":"""",""city"":"""",""state"":""IOWA"",""zip"":""""}'}",
KANSAS,2015,1,,-,0,,3,,,-,,-,,-,0,,8,,,-,,-,"{'longitude': '-98.20077822999997', 'needs_recoding': False, 'latitude': '38.347742794000055', 'human_address': '{""address"":"""",""city"":"""",""state"":""KANSAS"",""zip"":""""}'}",
MINNESOTA,2015,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"{'longitude': '-94.79419983199995', 'needs_recoding': False, 'latitude': '46.35564896600005', 'human_address': '{""address"":"""",""city"":"""",""state"":""MINNESOTA"",""zip"":""""}'}",
MISSOURI,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-92.56629944499997', 'needs_recoding': False, 'latitude': '38.63579147100006', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSOURI"",""zip"":""""}'}",
NEBRASKA,2015,1,,-,0,,9,,,-,,-,,-,0,,19,,,-,,-,"{'longitude': '-99.36571888999998', 'needs_recoding': False, 'latitude': '41.64104362100005', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEBRASKA"",""zip"":""""}'}",
NORTH DAKOTA,2015,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"{'longitude': '-100.11842789099995', 'needs_recoding': False, 'latitude': '47.475318609000055', 'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH DAKOTA"",""zip"":""""}'}",
SOUTH DAKOTA,2015,1,,-,0,,3,,,-,,-,,-,0,,11,,,-,,-,"{'longitude': '-100.37352915599996', 'needs_recoding': False, 'latitude': '44.35313004200003', 'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH DAKOTA"",""zip"":""""}'}",
S. ATLANTIC,2015,1,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
DELAWARE,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-75.57773597599999', 'needs_recoding': False, 'latitude': '39.00883389200004', 'human_address': '{""address"":"""",""city"":"""",""state"":""DELAWARE"",""zip"":""""}'}",
DIST. OF COL.,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""DIST. OF COL."",""zip"":""""}'}",
FLORIDA,2015,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-81.92895768899996', 'needs_recoding': False, 'latitude': '28.932042722000062', 'human_address': '{""address"":"""",""city"":"""",""state"":""FLORIDA"",""zip"":""""}'}",
GEORGIA,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-83.62757885599996', 'needs_recoding': False, 'latitude': '32.839683200000024', 'human_address': '{""address"":"""",""city"":"""",""state"":""GEORGIA"",""zip"":""""}'}",
MARYLAND,2015,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-76.60925984299996', 'needs_recoding': False, 'latitude': '39.290582950000044', 'human_address': '{""address"":"""",""city"":"""",""state"":""MARYLAND"",""zip"":""""}'}",
NORTH CAROLINA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-79.15924997399998', 'needs_recoding': False, 'latitude': '35.466220159000045', 'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH CAROLINA"",""zip"":""""}'}",
SOUTH CAROLINA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-81.04536596899999', 'needs_recoding': False, 'latitude': '33.99882216300006', 'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH CAROLINA"",""zip"":""""}'}",
VIRGINIA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-78.45788932099998', 'needs_recoding': False, 'latitude': '37.542680705000066', 'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGINIA"",""zip"":""""}'}",
WEST VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-80.71263755899997', 'needs_recoding': False, 'latitude': '38.66551127300005', 'human_address': '{""address"":"""",""city"":"""",""state"":""WEST VIRGINIA"",""zip"":""""}'}",
E.S. CENTRAL,2015,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ALABAMA,2015,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-86.63185738799996', 'needs_recoding': False, 'latitude': '32.84057234800002', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALABAMA"",""zip"":""""}'}",
KENTUCKY,2015,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-84.77496771599994', 'needs_recoding': False, 'latitude': '37.64597313300004', 'human_address': '{""address"":"""",""city"":"""",""state"":""KENTUCKY"",""zip"":""""}'}",
MISSISSIPPI,2015,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-89.53802722999995', 'needs_recoding': False, 'latitude': '32.745513440000025', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSISSIPPI"",""zip"":""""}'}",
TENNESSEE,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-85.77448666899994', 'needs_recoding': False, 'latitude': '35.68094072700006', 'human_address': '{""address"":"""",""city"":"""",""state"":""TENNESSEE"",""zip"":""""}'}",
W.S. CENTRAL,2015,1,,-,0,,33,,,-,,-,,-,0,,29,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ARKANSAS,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-92.27448966799994', 'needs_recoding': False, 'latitude': '34.74865032200006', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}'}",
LOUISIANA,2015,1,,-,0,,7,,,-,,-,,-,0,,11,,,-,,-,"{'longitude': '-92.44567750499994', 'needs_recoding': False, 'latitude': '31.312663324000027', 'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}'}",
OKLAHOMA,2015,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"{'longitude': '-97.52106835299998', 'needs_recoding': False, 'latitude': '35.472030747000076', 'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}'}",
TEXAS,2015,1,,-,0,,26,,,-,,-,,-,0,,18,,,-,,-,"{'longitude': '-99.42676785299994', 'needs_recoding': False, 'latitude': '31.827240467000024', 'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}'}",
MOUNTAIN,2015,1,,-,0,,21,,,-,,-,,-,0,,23,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ARIZONA,2015,1,,-,0,,8,,,-,,-,,-,0,,4,,,-,,-,"{'longitude': '-111.76380664699997', 'needs_recoding': False, 'latitude': '34.86597351900008', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}'}",
COLORADO,2015,1,,-,0,,11,,,-,,-,,-,0,,17,,,-,,-,"{'longitude': '-106.13360911499996', 'needs_recoding': False, 'latitude': '38.84384342200008', 'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}'}",
IDAHO,2015,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"{'longitude': '-114.36372693399994', 'needs_recoding': False, 'latitude': '43.68263174800006', 'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}'}",
MONTANA,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-109.42441587999997', 'needs_recoding': False, 'latitude': '47.06652795700006', 'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}'}",
